<%k_barn_trapdoor>: "%l Barn Trapdoor"
<%k_barred_trapdoor>: "%l Barred Trapdoor"
<%k_beach_trapdoor>: "%l Beach Trapdoor"
<%k_classic_trapdoor>: "%l Classic Trapdoor"
<%k_cottage_trapdoor>: "%l Cottage Trapdoor"
<%k_four_panel_trapdoor>: "%l Four Panel Trapdoor"
<%k_glass_trapdoor>: "%l Glass Trapdoor"
<%k_paper_trapdoor>: "%l Paper Trapdoor"
<%k_tropical_trapdoor>: "%l Tropical Trapdoor"
<%k_mystic_trapdoor>: "%l Mystic Trapdoor"
<%k_bamboo_trapdoor>: "%l Bamboo Trapdoor"
<%k_swamp_trapdoor>: "%l Swamp Trapdoor"
<%k_ranch_trapdoor>: "%l Ranch Trapdoor"
<%k_bark_trapdoor>: "%l Bark Trapdoor"
<%k_blossom_trapdoor>: "%l Blossom Trapdoor"
<%k_barrel_trapdoor>: "%l Barrel Trapdoor"
<%k_whispering_trapdoor>: "%l Whispering Trapdoor"
