<%k_japanese_door>: "Porte shoji en %l"
<%k_japanese2_door>: "Porte shoji entière en %l"
<%k_barn_door>: "Porte de grange en %l"
<%k_modern_door>: "Porte moderne en %l"
<%k_barn_glass_door>: "Porte de grange vitrée en %l"
<%k_cottage_door>: "Porte de chalet en %l"
<%k_classic_door>: "Porte classique en %l"
<%k_beach_door>: "Porte de plage en %l"
<%k_paper_door>: "Porte à papier en %l"
<%k_four_panel_door>: "Porte à quatre panneaux en %l"
<%k_tropical_door>: "Porte tropicale en %l"
<%k_glass_door>: "Porte vitrée en %l"
<%k_mystic_door>: "Porte mystique en %l"
<%k_nether_door>: "Porte du nether en %l"
<%k_stable_door>: "Porte d'écurie en %l"
<%k_stable_head_door>: "Porte d'écurie pour chevaux en %l"
<%k_western_door>: "Porte de western en %l"
<%k_bamboo_door>: "Porte grillagée en %l"
<%k_swamp_door>: "Porte de marais en %l"
<%k_bark_glass_door>: "Porte d'écorce vitrée en %l"
<%k_waffle_door>: "Porte gaufrée en %l"
<%k_whispering_door>: "Porte pâleuse en %l"
