<%k_window>: "Fenêtre redimensionnable en %l"
<%k_plank_window>: "Fenêtre redimensionnable en planches de %l"
<%k_window2>: "Fenêtre rectangulaire en %l"
<%k_plank_window2>: "Fenêtre rectangulaire en planches de %l"
<stripped_%k_log_window>: "Fenêtre redimensionnable en %l écorcée"
<stripped_%k_log_window2>: "Fenêtre rectangulaire en %l écorcée"
<%k_four_window>: "Fenêtre à quatre panneaux en %l"
<%k_plank_four_window>: "Fenêtre à quatre panneaux en planches de %l"
<stripped_%k_log_four_window>: "Fenêtre à quatre panneaux en %l écorcée"
<%k_log_parapet>: "Parapet en %l"
<%k_plank_parapet>: "Parapet en planches de %l"
<%k_blinds>: "Stores en %l"
<%k_shutter>: "Volet en %l"
<%k_louvered_shutter>: "Volet persienné en %l"
<%k_pane_window>: "Fenêtre à panneaux en %l"
<stripped_%k_pane_window>: "Fenêtre à panneaux en %l écorcée"
<%k_plank_pane_window>: "Fenêtre à panneaux en planches de %l"
<%k_curtain_rod>: "Tringle à rideau en %l"
